web_scraper_order,web_scraper_start_url,data,data2,data3,data4,data5,data6,data7,price,price2,data8,data9,data10,data11,data12,data13,price3,price4,data14,data15,data16,data17,data18,price5,data19,data20,data21,data22,price6,data23,price7,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,price8,price9,image,image2
"1780486405-33","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","LBOYLOVE","Women's Reversible Pashmina Soft Large Scarves Shawl Wrap for Women Big Scarf Holiday Gifts","","","(3)","+1 other color/pattern","","45.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","5.0","","90","","","","AED 45.90","","","","Add to cart","","","","AED","","","","5.0 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81VJvnhlEFL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-34","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","NALACAL","Women's Winter Shawl, Traditional Retro Printing Shawl, Tassel Scarf Floral Pashmina Shawl, Warm Scarf Wraps for Lady, Black","","","(2)","","","42.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED66.90","4.5","","78","","List: AED 66.90","","AED 42.78","","","","Add to cart","List:","","","AED","AED 66.90","","","4.5 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61HvbPMKArL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-35","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","ELECDON","Cashmere Texture Pashmina Style Scarf Shawl for Autumn Winter, Soft Heavy Weight Wrap Blanket Scarf for Women Men, 350g Thick Warm Fashion Accessory","","","(5)","","","60.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED79.99","3.9","","40","","List: AED 79.99","","AED 60.40","","","","Add to cart","List:","","","AED","AED 79.99","","","3.9 out of 5 stars","Limited time deal","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/81btcQjFEcL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-36","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","Upbull","Winter Shawl Wraps Women Knitted Shawls and Wraps Cardigan Cape Wool Pashmina Shoulder Top Sweater Shawl Scarf 2025","","","(816)","+8 other colors/patterns","","54.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.2","","95","","","","AED 54.95","","","","Add to cart","","","","AED","","","","4.2 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/51QNRnlPK5L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-37","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","KASTWAVE","Soft Silky Faux Pashmina Shawl for Women, Reversible Paisley Pashmina Shawl Wrap Scarf with Fringes, Oversized Printed Scarf Cashmere Silky Shawl Wraps Evening Dress Blanket Front Cardigan Soft Wrap","","","(3)","","","35.","","FREE delivery Fri, 5 Jun on your first order","Fri, 5 Jun","","AED49.90","4.6","","28","","List: AED 49.90","","AED 35.28","","","","Add to cart","List:","","","AED","AED 49.90","","","4.6 out of 5 stars","Limited time deal","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/711VljHub2L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-38","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","SKY Cashmere","Silky Soft Cashmere-Blend Pashmina Shawl for Women Scarf Cozy Tassel Elegant Winter scarf women Wrap Lightweight Breathable Layering Travel Accessory Shawl Gift for Women One Size","","","(4)","+6 other colors/patterns","","59.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.4","","00","","","","AED 59.00","","","","Add to cart","","","","AED","","","","4.4 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/61stL1hjlvL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-39","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","LBOYLOVE","Women's Reversible Pashmina Soft Large Scarves Shawl Wrap for Women Big Scarf Holiday Gifts","","","(3)","+1 other color/pattern","","45.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","5.0","","90","","","","AED 45.90","","","","Add to cart","","","","AED","","","","5.0 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/51SD6a4fkKL._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-40","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","","Women's Scarf Pashmina Shawls and Wraps for Evening Dress Wedding Bridal Bridesmaid Winter Warm Long Large Scarves","","","(1)","","","53.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.0","","99","","","","AED 53.99","","","","Add to cart","","","","AED","","","","4.0 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/51FLlIxf8+L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-41","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","ShineGlitz","Pashmina Shawls and Wraps for Evening Dresses, Large Soft Pashminas Wedding Shawl","","","(5.3K)","+13","","88.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","AED111.00","4.4","","83","","List: AED 111.00","","AED 88.83","","","","Add to cart","List:","","","AED","AED 111.00","","","4.4 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71YZRirJq6L._AC_UL960_FMwebp_QL65_.jpg",""
"1780486405-42","https://www.amazon.ae/s?k=kashmiri+pashmina+shawl","SKY Cashmere","™ Oversized Pashmina Shawl for Women – Soft Two Tone Large Scarf Women Warm Lightweight Wrap and Stole for Wedding Evening Dress Bridesmaid Gifts for Women One Size","","","(18)","+11","","48.","","FREE delivery Tomorrow, 4 Jun on your first order","Tomorrow, 4 Jun","","","4.4","","99","","","","AED 48.99","","","","Add to cart","","","","AED","","","","4.4 out of 5 stars","","","","","","Price, product page","","","",".","","https://m.media-amazon.com/images/I/71R3GMRJWIL._AC_UL960_FMwebp_QL65_.jpg",""
