title,shop,sales,rating,sale_price,original_price,discount,image
Large Beige Kashmiri Pashmina Kani Weave Shawl: Lightweight Winter Wrap,JKSowling,,4.8,8832.0,11041.0,(20% off),https://i.etsystatic.com/26145373/r/il/bc72d1/7807471273/il_765x1020.7807471273_jxfz.jpg
Embroidered Pashmina Shawl: Large Aari Needlework Wool Wrap,JKSowling,,4.8,17343.0,21679.0,(20% off),https://i.etsystatic.com/26145373/r/il/b6a182/7197644937/il_765x1020.7197644937_sq6x.jpg
"Hand-Embroidered Kashmiri Jamawar Pashmina Shawl – Pure Changthangi Cashmere Heirloom Wrap HandEmbroidery, Formal Evening",Indusweavers,,5.0,233005.0,291256.0,(20% off),https://i.etsystatic.com/36297693/r/il/18e2f1/6953680078/il_765x1020.6953680078_s7vo.jpg
Luxury Sage Green Embroidered Pashmina Shawl : Kashmiri Floral Wrap,TRENDINGWAVESCRAFT,,4.2,6210.0,12420.0,(50% off),https://i.etsystatic.com/63337261/r/il/895797/7952164449/il_765x1020.7952164449_g2fu.jpg
Authentic Pashmina Shawl with Traditional Paisley Design - Luxury Kashmiri Wrap,TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/a2b3e5/7968325364/il_765x1020.7968325364_bvyf.jpg
"Exclusive Large Grey Kashmiri Pashmina Kani Weave Wool Blend Shawl, Wrap (40 x 80 Inches)",JKSowling,,4.8,8186.0,10233.0,(20% off),https://i.etsystatic.com/26145373/c/877/877/0/425/il/51dca4/7744662153/il_765x1020.7744662153_6tjq.jpg
"Handloom Pashmina Blend Shawl - Heavy Ethnic Aari Embroidery | Luxury Wedding Stole, Kashmiri Floral Winter Scarf, Artisan Evening Wrap",Pashnova,,,7781.0,15564.0,(50% off),https://i.etsystatic.com/63643557/r/il/eb2e75/8108563215/il_765x1020.8108563215_hedk.jpg
"Kashmiri Pashmina Shawl Aari Embroidered Woman Scarf, Christmas Gift",ShawsanShop,,4.9,6508.0,13017.0,(50% off),https://i.etsystatic.com/61780180/c/1023/1023/0/257/il/5e8776/8007459258/il_765x1020.8007459258_9wgc.jpg
Paper mache embroidery pure Pashmina shawl (40x80) inches,TooshPashminashawl,,4.7,25922.0,47131.0,(45% off),https://i.etsystatic.com/25734426/r/il/7850fa/7247048354/il_765x1020.7247048354_lztg.jpg
Embroidered Forest Green Pashmina Shawl - Kashmiri Floral Wool Wrap,TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/13c9f5/7553313300/il_765x1020.7553313300_4lb0.jpg
"Ivory Cashmere Pashmina Shawl for Weddings, Luxurious Grey Paisley Embroidery",TRENDINGWAVESCRAFT,,4.2,6160.0,12320.0,(50% off),https://i.etsystatic.com/63337261/r/il/6e32a9/8129227049/il_765x1020.8129227049_owm0.jpg
"Black Kashmiri Pashmina Shawl, Multi-Color Floral Hand-Embroidery",TRENDINGWAVESCRAFT,,4.2,7061.0,14123.0,(50% off),https://i.etsystatic.com/63337261/r/il/7cbbfb/7926419810/il_765x1020.7926419810_b6ru.jpg
Fine Quality Lightweight Pashmina Kani Weave Shawl: Soft Kashmir Wool Wrap (40x80 inches),JKSowling,,4.8,14219.0,17774.0,(20% off),https://i.etsystatic.com/26145373/c/2250/2250/0/375/il/a54d0d/7818888680/il_765x1020.7818888680_q4z0.jpg
Karbala Shawl Baghdadi Iraqi Mufler Shawl for Men And Women Free Shipping Authentic Meditation Shawl beautiful 4 border Shawl In Green color,MystiqueArtShop,,4.4,1685.0,3370.0,(50% off),https://i.etsystatic.com/18897225/r/il/978617/6684531350/il_765x1020.6684531350_1ty0.jpg
Kani Moonlight Pashmina Shawl for Woman: Handwoven Kashmiri Shawl,Pashnova,,,12522.0,25043.0,(50% off),https://i.etsystatic.com/63643557/r/il/3e3941/8090427847/il_765x1020.8090427847_b412.jpg
"Large Beige Kashmiri Pashmina Kani Design Embroidered Blend Shawl, Winter Wrap (40X80 inches)",JKSowling,,4.8,9630.0,12037.0,(20% off),https://i.etsystatic.com/26145373/r/il/3fcfb0/8034711559/il_765x1020.8034711559_akql.jpg
Handmade Luxury White Pashmina Shawl: Kashmiri Embroidery Winter Wrap,SaniaLoom,,1.0,8189.0,10919.0,(25% off),https://i.etsystatic.com/57980406/r/il/be8cad/7175545803/il_765x1020.7175545803_ri37.jpg
"Large Balck pashmina Kanni Weave Wool Shawl, Wrap (Size 40""x80"")",JKSowling,,4.8,10556.0,13195.0,(20% off),https://i.etsystatic.com/26145373/c/1186/1186/0/116/il/3863f7/7245888701/il_765x1020.7245888701_oywt.jpg
"Handwoven Kashmiri Pashmina Scarf: Pashmina Bridal Shawl, GI Tagged",PashminaVogue,,4.9,48750.0,65000.0,(25% off),https://i.etsystatic.com/41369862/r/il/1aae08/5902646661/il_765x1020.5902646661_tcry.jpg
Handmade Kashmiri Pashmina Scarf | 100% Pure Soft Wool Artisan Wrap,ThreadAndDesignArt,,5.0,15439.0,20586.0,(25% off),https://i.etsystatic.com/60754467/r/il/1d0aa8/7854771806/il_765x1020.7854771806_lq5u.jpg
"Handmade Kashmir Pashmina Shawl, Jamawar Embroidery, Wedding Shawl",GiftedHandsIN,,4.7,249965.0,454482.0,(45% off),https://i.etsystatic.com/16722354/r/il/5d9853/7881100143/il_765x1020.7881100143_5tm6.jpg
"Pakistani Embroidered Pashmina Shawl: Kashmiri Embroidery, Wedding Gift",Shawsans,,4.7,5905.0,11810.0,(50% off),https://i.etsystatic.com/59740729/c/1024/1024/0/98/il/4d1088/7186497732/il_765x1020.7186497732_5fu2.jpg
